2014-04-21T15:18:46+00:00,processing page 2
2014-04-21T15:18:55+00:00,A2671ACD2EC0037CE0438C93F116037C already exists in RS skipping..
2014-04-21T15:18:55+00:00,A2671ACD2EC2037CE0438C93F116037C already exists in RS skipping..
2014-04-21T15:37:56+00:00,processing page 1
2014-04-21T15:40:50+00:00,processing page 1
2014-04-21T15:41:13+00:00,processing page 1
2014-04-21T15:41:42+00:00,processing page 1
2014-04-21T15:41:55+00:00,processing page 1
2014-04-21T15:42:24+00:00,processing page 1
2014-04-21T15:43:14+00:00,processing page 1
2014-04-21T15:44:56+00:00,processing page 1
2014-04-21T15:45:02+00:00,processing page 1
2014-04-21T15:46:14+00:00,processing page 1
2014-04-21T15:50:39+00:00,processing page 1
2014-04-21T15:51:09+00:00,processing page 1
2014-04-21T15:51:37+00:00,processing page 1
2014-04-21T15:52:29+00:00,processing page 1
2014-04-21T15:55:05+00:00,processing page 1
2014-04-21T15:55:20+00:00,processing page 1
2014-04-21T15:55:44+00:00,processing page 1
2014-04-21T15:55:49+00:00,processing page 1
2014-04-21T18:49:58+00:00,processing page 1
2014-04-21T18:50:04+00:00,EA7526E15DBD0226E0438C93F0280226 already exists in RS skipping..
2014-04-21T18:50:04+00:00,DONE: Processed 0
2014-04-21T18:50:50+00:00,processing page 2
2014-04-21T18:50:51+00:00,EA7526E15DBD0226E0438C93F0280226 already exists in RS skipping..
2014-04-21T18:50:51+00:00,DONE: Processed 0
2014-04-21T18:51:34+00:00,processing page 1
2014-04-21T18:51:37+00:00,EA7526E15DBD0226E0438C93F0280226 already exists in RS skipping..
2014-04-21T18:51:37+00:00,DONE: Processed 0
2014-04-21T18:54:09+00:00,processing page 2
2014-04-21T18:55:32+00:00,processing page 2
2014-04-21T19:35:47+00:00,processing page 2
2014-04-21T19:51:53+00:00,processing page 2
2014-04-21T20:15:09+00:00,processing page 2
