2014-04-17T14:03:37+00:00,processing page 6
2014-04-17T14:03:52+00:00,processing page 7
2014-04-17T14:04:05+00:00,processing page 8
2014-04-17T14:04:21+00:00,processing page 9
2014-04-17T14:04:41+00:00,processing page 10
2014-04-17T14:04:56+00:00,DONE: Processed 50
2014-04-17T14:31:46+00:00,processing page 1
2014-04-17T14:32:04+00:00,processing page 2
2014-04-17T14:32:19+00:00,processing page 3
2014-04-17T14:32:31+00:00,processing page 4
2014-04-17T14:32:44+00:00,processing page 5
2014-04-17T14:32:57+00:00,DONE: Processed 50
2014-04-17T16:13:52+00:00,processing page 1
2014-04-17T16:14:11+00:00,DONE: Processed 10
2014-04-17T17:50:28+00:00,processing page 1
2014-04-17T17:50:45+00:00,DONE: Processed 10
2014-04-17T18:14:28+00:00,processing page 2
2014-04-17T18:14:44+00:00,DONE: Processed 10
2014-04-17T18:27:53+00:00,processing page 3
2014-04-17T20:06:06+00:00,processing page 3
2014-04-17T20:17:08+00:00,processing page 1
2014-04-17T20:22:36+00:00,processing page 1
